,Value
2020-10-12,194937824.78708524
2020-10-13,192790652.8827484
2020-10-14,192790652.8827484
2020-10-15,192790652.8827484
2020-10-16,192790652.8827484
2020-10-19,192790652.8827484
2020-10-20,192790652.8827484
2020-10-21,192790652.8827484
2020-10-22,192790652.8827484
2020-10-23,192790672.8827484
2020-10-26,190792235.3225821
2020-10-27,189616683.7320065
2020-10-28,193519519.1723818
2020-10-29,185690321.7981946
2020-10-30,186889382.60059673
2020-11-02,186889382.60059673
2020-11-03,186889402.60059673
2020-11-04,187742997.2468412
2020-11-05,189934646.66835895
2020-11-06,193302853.9250123
2020-11-09,194340984.21356216
2020-11-10,200915913.26100418
2020-11-11,206752598.29420558
2020-11-12,209959320.48879537
2020-11-13,203799665.7763443
2020-11-14,206544985.81010443
2020-11-17,216649610.12250876
2020-11-18,235705366.93948528
2020-11-19,235705365.0194374
2020-11-20,233559868.8591182
2020-11-23,235382379.57912305
2020-11-24,239304270.4620994
2020-11-25,238773654.40251103
2020-11-26,239834879.05290455
2020-11-27,248624517.35712314
2020-12-01,249270468.57981747
2020-12-02,254714976.60382834
2020-12-03,255660848.78957874
2020-12-04,256145300.05382782
2020-12-07,255014871.8209805
2020-12-08,252131146.0803316
2020-12-09,254115137.66807917
2020-12-10,247632507.54347286
2020-12-11,247678640.14177185
2020-12-14,247240299.9101257
2020-12-15,247240299.9101257
2020-12-16,247240319.9101257
2020-12-17,247195064.7836494
2020-12-18,243733835.57658896
2020-12-21,228305337.5630581
2020-12-22,228305337.5630581
2020-12-23,228305337.5630581
2020-12-24,228305337.5630581
2020-12-28,228305357.5630581
2020-12-29,228408626.83142838
2020-12-30,227148852.25843793
2020-12-31,228883610.99939123
2021-01-01,230473805.10727513
2021-01-04,236689978.66879943
2021-01-05,236318240.74660888
2021-01-06,241068148.07470736
2021-01-07,244599625.87270182
2021-01-08,246478914.53794584
2021-01-11,266697002.8444484
2021-01-12,295031247.6770251
2021-01-13,301433304.90868545
2021-01-14,302961523.26371586
2021-01-15,317025389.53129995
2021-01-18,309590739.0059354
2021-01-19,318718844.452838
2021-01-20,335075024.03512585
2021-01-21,359175662.9161063
2021-01-22,361240830.32169664
2021-01-25,353558388.3710922
2021-01-27,333815293.6275097
2021-01-28,330118598.14045095
2021-01-29,331295748.1836481
2021-02-01,337429350.29831386
2021-02-02,388769647.00785446
2021-02-03,412663763.3964031
2021-02-04,406055165.87834346
2021-02-05,395894507.33695996
2021-02-08,410226854.98077375
2021-02-09,407149707.56820893
2021-02-10,405208472.69632
2021-02-11,404671529.5017971
2021-02-12,403597624.17033273
2021-02-15,410206169.04503214
2021-02-16,410805093.8931246
2021-02-17,408843164.6607641
